type,model,created_at,usage_input,usage_output
first,model3,25.04.2024,2702,4775
first,model1,16.03.2024,8825,5693
second,model1,09.03.2024,5935,760
third,model3,19.01.2024,9613,6715
second,model1,01.05.2024,4234,9087
second,model3,24.03.2024,1767,811
second,model3,14.01.2024,6617,8945
first,model2,08.05.2024,9611,6870
second,model3,28.04.2024,7469,1345
second,model3,11.04.2024,4369,4500
third,model3,27.01.2024,2041,560
second,model3,16.03.2024,456,3664
third,model3,18.04.2024,9976,9846
third,model3,05.03.2024,1485,813
second,model1,22.02.2024,4035,2349
third,model1,28.04.2024,2876,8078
second,model3,15.04.2024,5846,2737
first,model2,06.01.2024,4939,7378
third,model2,02.05.2024,9213,7973
second,model1,28.03.2024,4532,2969
third,model1,07.01.2024,5098,9511
third,model1,03.02.2024,8642,6091
first,model1,15.02.2024,2080,2517
second,model1,14.03.2024,5907,3962
second,model1,24.01.2024,7263,8065
second,model3,29.01.2024,9399,6719
second,model3,27.02.2024,7096,1284
second,model2,08.05.2024,9870,451
second,model1,15.02.2024,1450,9234
second,model1,16.01.2024,6728,6964
first,model2,23.03.2024,2273,2664
third,model2,29.01.2024,7927,3577
third,model2,19.03.2024,1185,530
second,model1,08.05.2024,2195,9700
second,model1,20.04.2024,978,623
third,model2,05.02.2024,6281,721
second,model3,24.01.2024,7588,2839
first,model1,23.01.2024,5081,8754
first,model3,09.05.2024,8853,2975
first,model2,15.03.2024,7756,3587
third,model2,23.03.2024,6760,8606
second,model3,25.03.2024,8963,8827
third,model2,20.01.2024,8511,907
first,model3,12.03.2024,756,9868
first,model3,14.02.2024,1551,3897
second,model3,06.02.2024,81,7606
first,model1,21.01.2024,3873,9402
first,model2,01.03.2024,5901,4233
third,model1,02.04.2024,4758,3588
third,model1,03.03.2024,7380,4365
third,model2,11.03.2024,5731,1931
second,model2,14.03.2024,3780,1597
second,model3,04.01.2024,6199,6769
third,model1,18.02.2024,3418,9540
first,model1,19.01.2024,1799,3578
third,model1,25.02.2024,5722,5922
second,model2,04.05.2024,5186,1423
first,model2,17.01.2024,2055,5135
third,model2,19.03.2024,8066,4420
second,model2,13.02.2024,2720,6801
second,model3,24.02.2024,5672,3043
second,model2,03.01.2024,2737,6895
third,model2,24.01.2024,9987,7442
first,model3,02.04.2024,5504,3070
first,model2,14.05.2024,6452,7520
second,model2,05.01.2024,1538,1949
second,model1,10.02.2024,2575,5743
first,model3,29.01.2024,5102,2463
first,model2,26.01.2024,4304,843
first,model3,21.02.2024,4449,4837
third,model3,22.03.2024,6916,9366
third,model2,08.05.2024,4015,5991
first,model2,25.04.2024,9380,8089
first,model3,20.03.2024,3466,9780
first,model3,11.01.2024,5584,5289
third,model1,21.03.2024,2497,2168
first,model3,29.03.2024,1677,1338
second,model3,18.02.2024,6299,903
first,model3,29.01.2024,3895,2202
third,model2,20.04.2024,4683,1205
first,model1,13.03.2024,8337,1998
second,model3,06.02.2024,9517,5718
first,model1,25.04.2024,7756,9095
first,model3,20.04.2024,12,8868
first,model3,09.05.2024,1665,9596
third,model1,21.04.2024,5146,8856
first,model3,29.01.2024,6426,307
third,model3,09.05.2024,7649,7352
third,model2,08.03.2024,8452,8121
second,model3,01.04.2024,4808,5011
second,model3,28.01.2024,9331,1212
third,model3,26.01.2024,7671,1221
first,model1,23.01.2024,7493,6711
third,model2,19.02.2024,2147,9957
second,model1,08.03.2024,4421,6367
second,model2,19.02.2024,531,5891
second,model3,31.01.2024,1168,7743
third,model1,03.01.2024,5102,5722
first,model3,13.04.2024,449,9897
first,model2,25.01.2024,2987,3682
